wlhbdp@bdp-platform org.apache.flink:flink-test-utils-junit
datanucleus@datanucleus-core org.hibernate:hibernate-annotations
mybatis@migrations org.apache.ibatis:ibatis-sqlmap
wlhbdp@bdp-platform org.wildfly.security:wildfly-elytron-ssl
wlhbdp@bdp-platform com.clearspring.analytics:stream
codefollower@Tomcat-Research org.apache.maven.wagon:wagon-http-lightweight
wlhbdp@bdp-platform org.apache.iceberg:iceberg-common
codefollower@Tomcat-Research org.eclipse.jetty.websocket:websocket-servlet
wlhbdp@bdp-platform org.apache.calcite:calcite-druid
geosdi@geo-platform io.atlasmap:atlas-model
apache@maven-assembly-plugin org.jboss.forge.addon:maven-impl
wlhbdp@bdp-platform com.xuxueli:xxl-job-core
MorphiaOrg@morphia org.mongodb.morphia:morphia
yeshodhan@android-jaxb com.sun.xml.bind:jaxb-impl
wlhbdp@bdp-platform org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-core
wlhbdp@bdp-platform org.whispersystems:curve25519-java
wlhbdp@bdp-platform org.komamitsu:fluency-core
vert-x3@vertx-grpc com.trueaccord.scalapb:scalapb-runtime_2.11
spring-projects@spring-data-geode org.springframework.data:spring-data-gemfire
apache@directory-server org.apache.directory.shared:shared-cursor
jakartaee@rest com.sun.jersey:jersey-json
codefollower@Tomcat-Research org.synchronoss.cloud:nio-multipart-parser
apache@directory-server org.apache.directory.server:apacheds-interceptor-kerberos
bootique@bootique com.fasterxml.jackson.datatype:jackson-datatype-jsr310
hiwepy@disruptor-spring-boot-starter org.apache.shiro:shiro-core
wlhbdp@bdp-platform org.apache.flink:flink-table-api-java
wlhbdp@bdp-platform org.neo4j:neo4j-kernel-api
codefollower@Tomcat-Research io.undertow:undertow-core
dibo-software@diboot org.apache.shiro:shiro-spring
FasterXML@jackson-databind com.fasterxml.jackson.core:jackson-databind
allr@purdue-fastr org.kie.workbench.services:kie-wb-common-data-modeller-core
wlhbdp@bdp-platform org.hawkular.alerts:hawkular-alerts-actions-impl
alibaba@Sentinel org.hibernate:hibernate-validator
apache@tika org.apache.pdfbox:pdfbox
codefollower@Tomcat-Research org.apache.shiro:shiro-web
wlhbdp@bdp-platform org.keycloak:keycloak-common
apache@maven-wagon org.opendaylight.aaa:aaa-encrypt-service
datanucleus@datanucleus-core org.wso2.carbon.commons:org.wso2.carbon.ntask.core
antlr@antlr4 com.tunnelvisionlabs:antlr4-runtime
wlhbdp@bdp-platform org.apache.flink:flink-connector-kafka-0.10_2.11
geosdi@geo-platform org.apache.cxf:cxf-api
majianzheng@jarboot com.codahale.metrics:metrics-core
apache@james-mime4j org.apache.httpcomponents:httpcore
codefollower@Tomcat-Research org.glassfish.grizzly:grizzly-http
apache@tika org.apache.tika:tika-parsers
alibaba@Sentinel org.jboss.slf4j:slf4j-jboss-logmanager
datanucleus@datanucleus-core io.ebean:ebean-agent
jakartaee@rest jakarta.ws.rs:jakarta.ws.rs-api
wlhbdp@bdp-platform org.datavec:datavec-api
FasterXML@jackson-databind org.glassfish.jersey.media:jersey-media-json-jackson
allr@purdue-fastr org.apache.lucene:lucene-expressions
wlhbdp@bdp-platform com.sparkjava:spark-core
wlhbdp@bdp-platform com.typesafe.akka:akka-persistence_2.11
majianzheng@jarboot io.cucumber:gherkin
wlhbdp@bdp-platform io.airlift:discovery
wlhbdp@bdp-platform org.picketlink:picketlink-idm-api
wlhbdp@bdp-platform io.nats:java-nats-streaming
jakartaee@rest org.apache.cxf:cxf-rt-rs-extension-providers
geosdi@geo-platform com.sun.jersey:jersey-json
codefollower@Tomcat-Research javax.servlet:javax.servlet-api
apache@maven-assembly-plugin org.apache.maven.shared:maven-shared-io
polarismesh@polaris-java com.ctrip.framework.apollo:apollo-client
wlhbdp@bdp-platform org.apache.spark:spark-unsafe_2.12
codefollower@Tomcat-Research org.mortbay.jasper:apache-jsp
Matrix6677@EasyRpc io.dropwizard:dropwizard-jetty
alibaba@Sentinel com.alibaba.csp:sentinel-transport-simple-http
codefollower@Tomcat-Research org.smartboot.http:smart-http-server
zuihou@lamp-util com.baomidou:mybatis-plus-extension
codefollower@Tomcat-Research tomcat:jasper-compiler
airlift@slice io.airlift:slice
wlhbdp@bdp-platform org.apache.flink:flink-clients_2.11
wlhbdp@bdp-platform org.opendaylight.yangtools:yang-binding
wlhbdp@bdp-platform org.springframework.data:spring-data-cassandra
apache@james-mime4j com.sun.jersey:jersey-json
apache@commons-fileupload org.synchronoss.cloud:nio-multipart-parser
wlhbdp@bdp-platform io.airlift.drift:drift-transport-spi
yeshodhan@android-jaxb ognl:ognl
mangstadt@ez-vcard org.keycloak:keycloak-core
apache@maven-wagon org.apache.maven.wagon:wagon-ssh-external
jruby@jruby-openssl com.sun.jersey:jersey-json
wlhbdp@bdp-platform com.google.guava:guava
wlhbdp@bdp-platform org.apache.karaf:org.apache.karaf.util
codefollower@Tomcat-Research org.glassfish:javax.el
majianzheng@jarboot org.nd4j:nd4j-common
starblues-zhuo@springboot-plugin-framework-parent io.r2dbc:r2dbc-spi
codefollower@Tomcat-Research io.undertow:undertow-servlet
datanucleus@datanucleus-core org.jboss:jboss-common-core
wlhbdp@bdp-platform org.mindrot:jbcrypt
apache@tika software.amazon.smithy:smithy-utils
FasterXML@jackson-databind de.flapdoodle.embed:de.flapdoodle.embed.process
wlhbdp@bdp-platform org.apache.druid:druid-core
vert-x3@vertx-config io.vertx:vertx-config
alibaba@Sentinel org.jboss.forge.roaster:roaster-api
wlhbdp@bdp-platform org.bonitasoft.engine:bonita-common
geosdi@geo-platform org.glassfish.tyrus:tyrus-server
snowflakedb@snowflake-jdbc net.snowflake:snowflake-jdbc
wlhbdp@bdp-platform org.apache.jackrabbit:oak-jcr
majianzheng@jarboot io.ultreia.java4all:java-lang
apache@openwebbeans org.apache.openwebbeans:openwebbeans-se
geosdi@geo-platform org.docx4j:docx4j-openxml-objects
OpenHFT@Chronicle-Map net.openhft:chronicle
codefollower@Tomcat-Research org.apache.tomcat.embed:tomcat-embed-logging-juli
wlhbdp@bdp-platform org.apache.hbase:hbase-zookeeper
wlhbdp@bdp-platform com.upyun:java-sdk
apache@tika com.ibm.icu:icu4j
codefollower@Tomcat-Research tomcat:catalina
apache@commons-fileupload org.smartboot.http:smart-http-server
yeshodhan@android-jaxb com.sun.xsom:xsom
wlhbdp@bdp-platform org.apache.spark:spark-sql_2.12
apache@directory-server org.apache.directory.server:apacheds-core-entry
itfsw@QueryBuilder org.jboss.forge.addon:maven-impl
wlhbdp@bdp-platform io.airlift:stats
wstrange@GoogleAuth com.warrenstrange:googleauth
apache@openwebbeans com.sun.jersey:jersey-json
mickleness@pumpernickel org.codehaus.plexus:plexus-classworlds
itfsw@QueryBuilder com.stormpath.sdk:stormpath-sdk-api
geosdi@geo-platform net.loomchild:segment
apache@directory-server org.apache.directory.server:apacheds-kerberos-codec
apache@openwebbeans org.apache.geronimo.specs:geronimo-jcdi_2.0_spec
wlhbdp@bdp-platform org.seleniumhq.selenium:selenium-api
codefollower@Tomcat-Research org.glassfish.web:javax.servlet.jsp
yeshodhan@android-jaxb javax.xml.bind:jaxb-api
OpenHFT@Chronicle-Map net.openhft:chronicle-map
mybatis@ibatis-2 org.apache.ibatis:ibatis-sqlmap
wlhbdp@bdp-platform org.glassfish.hk2:osgi-adapter
codefollower@Tomcat-Research org.apache.tomcat:tomcat-tribes
eclipse-vertx@vertx-sql-client org.mobicents.resources:restcomm-slee-ra-diameter-base-common-events
mybatis@ibatis-2 com.googlecode.xmemcached:xmemcached
codefollower@Tomcat-Research org.codehaus.plexus:plexus-archiver
GateNLP@gate-core org.hibernate:hibernate-annotations
thothbot@parallax com.google.gwt:gwt-servlet
wlhbdp@bdp-platform com.treasuredata.client:td-client
wlhbdp@bdp-platform org.apache.hive:hive-contrib
wlhbdp@bdp-platform com.tdunning:t-digest
FasterXML@jackson-databind org.kie.server:kie-server-api
geosdi@geo-platform org.kie:lienzo-tests
codefollower@Tomcat-Research org.jboss.weld.probe:weld-probe-core
FasterXML@jackson-databind com.fasterxml.jackson.dataformat:jackson-dataformat-xml
codefollower@Tomcat-Research org.apache.tomcat:tomcat-jasper
majianzheng@jarboot org.keycloak:keycloak-common
apache@james-mime4j org.jboss.forge.addon:maven-impl
apache@maven-wagon org.apache.maven.wagon:wagon-ssh-common
hydromatic@morel org.camunda.bpm.model:camunda-bpmn-model
neilalexander@jnacl eu.neilalexander:jnacl
wlhbdp@bdp-platform org.apache.kafka:connect-runtime
wlhbdp@bdp-platform org.jboss.slf4j:slf4j-jboss-logmanager
zuihou@lamp-util com.baomidou:mybatis-plus-boot-starter
apache@openwebbeans org.apache.openwebbeans:openwebbeans-impl
apache@tika org.glassfish.hk2:hk2-core
sofastack@sofa-tracer io.opentracing.contrib:opentracing-mongo-driver
sofastack@sofa-tracer com.webauthn4j:webauthn4j-util
FasterXML@jackson-databind com.fasterxml.jackson.datatype:jackson-datatype-jdk8
apache@openwebbeans org.apache.deltaspike.modules:deltaspike-proxy-module-api
wlhbdp@bdp-platform org.kie.kogito:kogito-api
wlhbdp@bdp-platform org.apache.calcite:calcite-avatica
